# IMG_4199, take three. Every "cut that" honoured. start	end	frame	label	faceid
23.780	28.110	wide	hook	001
28.520	30.050	mid	nod-along	002
30.700	33.110	close	smile-and-nod	003
38.820	44.070	wide	25-years-nobody-taught-you	004
50.180	54.190	mid	expecting-it-not-that-hard	005
57.820	58.930	close	heres-where-it-sucks	007
59.220	63.070	wide	wall-of-text	008
63.200	66.210	mid	dont-know-what-to-ask	009
76.340	79.550	wide	reading-like-2019	011
89.900	91.930	close	five-minutes-fixes-that	012
93.860	95.670	mid	app-i-built-called-jayla	013
134.880	137.890	wide	one-small-puzzle	023
142.040	145.350	mid	move-the-pieces	024
153.020	155.650	close	saves-to-playbook	025
200.660	205.830	wide	monday-not-from-nothing	034
211.960	214.810	mid	jayla-gets-harder	036
216.800	218.310	close	dont-age-out	037
275.280	279.230	mid	first-three-free-jaylaapp	047
279.480	280.370	close	see-you-in-there	048
